what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037426208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037436489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037480634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037483371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037486954
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037509388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037529555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037533519
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037553004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037558297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1508037573253
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1508037577079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1508037580898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1508037586727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037588306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037594572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037603775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037609171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1508037613391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1508037615880
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1508037620644
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037623574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508037630290
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037639228
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508037640834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508037652188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037657950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037686235
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037691987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037698083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037701312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037714235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1508037714285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037773173
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037776778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037783351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037789136
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037789781
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037792068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037799725
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037800470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037802800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037804835
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037828817
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037832672
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1508037841958
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037846081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037866214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037960667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1508037963547
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037968879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508037971685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037976519
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508037977789
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508037979148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508038001398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038006692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038036497
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038038694
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038054736
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038054736
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1508038057141
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038059621
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1508038059621
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038063428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038070539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038101196
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038102494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1508038105243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038107623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038114249
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038114308
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038114387
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038114387
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038116271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038120684
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038120777
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038120869
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038120870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038128973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1508038184744
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038184907
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038184942
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038185035
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038185071
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038185155
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038185194
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1508038185198
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1508038190384
